PC1,PC2,PC3,PC4,PC5,PC6
0.00600863094015941,-0.00799693420467271,-0.00213445465792343,0.00565356988734128,-0.00656244471800463,-0.0143509223406722
0.00341620392385085,-0.0114116309416271,-0.00144737645831344,0.00776201530971321,-0.000278181260243315,0.00348617164730826
0.00243708150109056,0.00398324499254996,-0.000598345198352568,-0.00207963798766058,-0.00636682134604234,-0.018011698283723
0.00591736188060971,-0.00792547314749606,-0.00215578066199003,0.00570581392693752,-0.00664000802656476,-0.0146967062558304
0.00136527781688216,-8.14741743351187e-06,-0.00166203656771157,-0.00172363444370935,-0.00457760451240452,-0.00678794485456275
0.00341211280892322,-0.0113880665331534,-0.0014383964416352,0.00781826251474407,-0.000357045578072298,0.00387126694007095
0.0059614904177282,-0.0078264075137143,-0.00211070816858396,0.00576570072693632,-0.00654682308818189,-0.0141608889557986
0.00567862169486562,-0.00773152216484523,-0.00223603366182207,0.00578743417223464,-0.00652050026064311,-0.0135606926204953
0.00249900498428742,0.00342658490166623,-0.00067829350400156,-0.00201696635712428,-0.00633070274016531,-0.0175472379479321
0.00216267935047758,-0.00746734209527391,-0.000998570054157669,0.0045292235753785,-0.000174268674427079,0.00119179096088898
0.0015862242430428,0.00723803429973921,-0.000759909708773537,0.000211279222779033,0.00573830726125736,0.0101018349024605
0.00249821921375401,0.0033449034886473,-0.000169992605610955,-0.00183515910958434,-0.00508532112317802,-0.0171452557674553
0.00731714964053609,-0.00413413580149854,-0.000965544029057828,0.00574272652822587,-0.00532005923509666,-0.0103010519832581
0.00238976745745061,0.00562336543932038,0.00177900998838737,-0.000140977240503366,-9.19753164523632e-05,0.000714738890549872
0.00334691031185205,-0.0112486285637189,-0.00143082662878269,0.00683928327013135,-0.000201397321971105,0.00364056239254086
0.00743990956346541,-0.00383760672107332,-0.000776731110401443,0.00582847359618723,-0.00569358629354801,-0.01035239853566
0.00755113728359791,-0.00431788296429261,-0.000973995297321899,0.00561369227535393,-0.00548699723537918,-0.00963736665772148
